Timestamp,"Departemen/Jurusan 
(contoh: Sistem Informasi)",Angkatan,Saya percaya bahwa AI memiliki kemampuan untuk menciptakan karya seni yang menarik dan berkualitas.,Kehadiran AI dalam seni digital memberikan peluang untuk menghasilkan karya seni yang lebih kreatif.,Saya merasa kehadiran AI dalam seni digital dapat meningkatkan penghargaan terhadap karya seni manusia.,Teknologi AI di bidang seni dapat meningkatkan akses masyarakat terhadap seni berkualitas tinggi.,Saya mendukung perlindungan hak cipta untuk karya seni yang dihasilkan oleh AI.,Saya tidak khawatir AI akan menggeser peran seniman manusia dalam jangka panjang.,"AI membantu memperluas jangkauan kreativitas dalam seni digital, baik bagi seniman profesional maupun amatir.",Saya setuju bahwa kehadiran AI dalam seni digital adalah peluang ekonomi yang menjanjikan.,Saya tidak khawatir teknologi AI dalam seni dapat memicu plagiarisme atau pelanggaran hak cipta.,"Menurut saya, AI adalah alat bantu seniman daripada menggantikan peran mereka.",Saya percaya bahwa AI adalah alat yang membantu saya meningkatkan produktivitas dalam menciptakan karya seni.,Kehadiran AI telah membuka peluang baru bagi saya untuk menciptakan karya seni yang lebih kompleks dan inovatif.,Saya merasa AI dapat menciptakan karya seni yang sebanding dengan karya manusia.,Kehadiran AI tidak membuat saya khawatir tentang persaingan pekerjaan di bidang seni dan desain digital.,Saya setuju bahwa karya seni yang dihasilkan oleh AI harus memiliki perlindungan hak cipta seperti karya seni manusia.,Saya tidak merasa bahwa teknologi AI dapat mengurangi nilai artistik dari karya seni yang diciptakan manusia.,Penggunaan AI dalam seni digital membuat proses penciptaan karya lebih efisien dan otentik.,Saya memahami risiko plagiarisme yang mungkin muncul dari karya seni berbasis AI.,AI lebih sering saya gunakan sebagai kolaborator daripada kompetitor dalam pekerjaan seni saya.,Saya merasa AI memiliki potensi besar untuk mendukung pertumbuhan ekonomi bagi seniman digital.,Column 24
27/11/2024 17:02:15,Sistem Informasi,2024,4,4,1,4,1,1,4,5,1,3,5,4,4,1,1,3,2,4,5,4,
27/11/2024 17:08:27,Sistem Informasi,2024,3,4,3,4,1,3,2,2,2,4,3,3,1,4,1,5,2,3,3,2,
27/11/2024 17:11:12,Teknik Industri,2023,4,5,3,5,2,3,4,3,2,4,4,5,4,3,2,2,5,5,5,4,
27/11/2024 17:13:25,Sistem Informasi,2022,4,3,3,4,2,1,4,4,1,3,4,4,3,1,2,2,4,4,4,4,
27/11/2024 17:21:27,Sistem Informasi,2024,2,4,3,2,1,5,4,4,5,4,4,4,1,2,4,2,3,5,4,3,
27/11/2024 17:38:56,Teknik Informatika,2023,1,2,1,2,2,3,3,2,1,4,3,1,1,3,2,2,1,5,4,2,
27/11/2024 18:06:35,Sistem Informasi,2023,2,4,2,2,3,1,4,4,1,4,2,4,1,1,2,2,2,4,1,2,
27/11/2024 20:01:21,Sistem Informasi,2024,3,5,3,5,5,2,5,3,3,5,3,5,3,3,5,3,4,5,5,5,
27/11/2024 20:54:44,Sistem Informasi,2023,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,5,1,1,
28/11/2024 08:27:23,Teknik Industri,2023,1,1,1,1,1,3,3,3,1,3,3,3,1,3,1,1,3,4,3,3,
28/11/2024 13:13:31,Sistem Informasi,2023,4,4,4,2,1,1,3,2,1,3,3,4,1,1,1,2,1,2,4,3,
28/11/2024 13:15:19,Sistem Informasi,2023,4,1,1,4,1,1,1,1,1,4,1,2,1,1,1,1,1,5,1,1,